humidity,temperature,distance,sound_pressure_level
48,1,500,82.193
48,1,1000,74.219
48,1,1500,69.420
48,1,2000,65.896
48,1,2500,63.085
49,1,500,82.218
49,1,1000,74.263
49,1,1500,69.474
49,1,2000,65.955
49,1,2500,63.147
50,1,500,82.242
50,1,1000,74.305
50,1,1500,69.525
50,1,2000,66.012
50,1,2500,63.206
51,1,500,82.265
51,1,1000,74.346
51,1,1500,69.574
51,1,2000,66.066
51,1,2500,63.263
52,1,500,82.287
52,1,1000,74.385
52,1,1500,69.622
52,1,2000,66.118
52,1,2500,63.318
53,1,500,82.309
53,1,1000,74.423
53,1,1500,69.668
53,1,2000,66.169
53,1,2500,63.371
54,1,500,82.330
54,1,1000,74.460
54,1,1500,69.712
54,1,2000,66.217
54,1,2500,63.422
55,1,500,82.350
55,1,1000,74.495
55,1,1500,69.755
55,1,2000,66.264
55,1,2500,63.471
56,1,500,82.370
56,1,1000,74.529
56,1,1500,69.795
56,1,2000,66.309
56,1,2500,63.518
57,1,500,82.389
57,1,1000,74.562
57,1,1500,69.835
57,1,2000,66.353
57,1,2500,63.563
58,1,500,82.408
58,1,1000,74.593
58,1,1500,69.873
58,1,2000,66.395
58,1,2500,63.607
59,1,500,82.426
59,1,1000,74.624
59,1,1500,69.910
59,1,2000,66.435
59,1,2500,63.650
60,1,500,82.443
60,1,1000,74.654
60,1,1500,69.945
60,1,2000,66.474
60,1,2500,63.691
61,1,500,82.460
61,1,1000,74.683
61,1,1500,69.980
61,1,2000,66.512
61,1,2500,63.730
62,1,500,82.477
62,1,1000,74.711
62,1,1500,70.013
62,1,2000,66.549
62,1,2500,63.768
63,1,500,82.492
63,1,1000,74.738
63,1,1500,70.045
63,1,2000,66.584
63,1,2500,63.805
64,1,500,82.508
64,1,1000,74.764
64,1,1500,70.076
64,1,2000,66.618
64,1,2500,63.841
65,1,500,82.523
65,1,1000,74.789
65,1,1500,70.106
65,1,2000,66.651
65,1,2500,63.875
66,1,500,82.538
66,1,1000,74.814
66,1,1500,70.134
66,1,2000,66.682
66,1,2500,63.908
67,1,500,82.552
67,1,1000,74.838
67,1,1500,70.162
67,1,2000,66.713
67,1,2500,63.941
68,1,500,82.566
68,1,1000,74.861
68,1,1500,70.189
68,1,2000,66.743
68,1,2500,63.972
69,1,500,82.579
69,1,1000,74.883
69,1,1500,70.216
69,1,2000,66.771
69,1,2500,64.002
70,1,500,82.592
70,1,1000,74.905
70,1,1500,70.241
70,1,2000,66.799
70,1,2500,64.031
71,1,500,82.605
71,1,1000,74.926
71,1,1500,70.266
71,1,2000,66.826
71,1,2500,64.059
